Location,Year,Week,Air_Temp_DB,Air_Temp_Avg,Dew_Point,Heat_Index,Relative_Humidity,Soil_Temp_Avg,Soil_Moisture_Avg,Plant_Available_Water,Saturation_Index,Soil_Temp_0.1,Soil_Temp_0.2,Soil_Temp_0.3,Soil_Temp_0.4,Active_Radiation,Solar_Radiation,Precipitation
Clinton,2018,0,77.44,77.42,68.55,83.64,0.76,81.96,0.25,0.18,0.7,81.83,80.92,80.38,79.76,515.18,254.92,0.5800000000000001
Clinton,2018,1,83.98,84.03,71.39,89.6,0.68,87.74,0.23,0.16,0.64,87.26,85.8,84.77,83.78,580.02,281.17,0.64
Clinton,2018,2,80.26,80.19,71.75,85.8,0.77,85.38,0.29,0.19,0.8,85.25,84.45,83.96,83.36,568.49,277.3,1.23
Clinton,2018,3,79.58,79.58,70.27,85.26,0.75,86.14,0.26,0.18,0.72,85.79,85.49,85.29,84.84,498.26,243.99,1.02
Clinton,2018,4,77.79,77.78,63.8,83.8,0.65,84.78,0.25,0.18,0.69,84,83.23,82.81,82.3,604.05,301.61,0
Clinton,2018,5,78.46,78.38,68.81,83.3,0.74,84.53,0.23,0.16,0.63,84.39,83.94,83.74,83.34,447.79,220.98,0.45
Clinton,2018,6,77.59,77.57,71.55,82.89,0.83,82.26,0.24,0.16,0.66,82.83,82.48,82.37,82.03,403.27,197.59,3.12
Clinton,2018,7,77.53,77.57,72.72,82.7,0.86,80.79,0.33,0.19,0.93,81.23,80.92,80.88,80.66,370.01,180.23,2.73
Clinton,2018,8,79.84,79.83,71.4,85.39,0.77,84.09,0.27,0.19,0.76,83.67,83.29,83.09,82.68,496.25,244.04,0.55
Clinton,2018,9,79.09,79.11,71.62,84.41,0.79,82.37,0.31,0.19,0.85,82.43,82.17,82.13,81.88,451.97,225.66,2.16
Clinton,2018,10,76.1,76.11,66.78,83.05,0.75,80.95,0.3,0.19,0.83,81.28,81.19,81.31,81.15,513.49,256.81,1.38
Clinton,2018,11,80.58,80.57,71.03,85.7,0.75,84.2,0.24,0.16,0.68,84.61,83.93,83.53,82.99,506.13,246.73,1.5999999999999999
Clinton,2018,12,79.93,79.89,70.71,85.17,0.76,83.39,0.25,0.17,0.68,84.03,83.64,83.51,83.17,511.9,251.6,0
Clinton,2018,13,77.19,77.2,72.25,81.92,0.85,79.2,0.3,0.16,0.86,80.06,80.25,80.62,80.65,226.52,109.99,11.42
Clinton,2018,14,77.05,77.08,69.9,86.05,0.77,78.24,0.32,0.19,0.88,79.12,78.79,78.75,78.53,430.84,218.28,5.4
Clinton,2018,15,75.52,75.54,68.27,81.31,0.8,77.83,0.24,0.17,0.68,78.57,78.57,78.74,78.62,373.45,189.47,0.23
Clinton,2018,16,75.83,75.81,66.99,81.93,0.76,76.76,0.21,0.14,0.59,77.69,77.57,77.7,77.57,362.29,185.38,0
Clinton,2018,17,70.59,70.62,62.34,80.4,0.76,73.55,0.19,0.12,0.53,74.52,75.11,75.8,76.05,293.68,151.59,0.41000000000000003
Clinton,2018,18,63.76,63.81,55.07,78,0.75,68.07,0.18,0.11,0.51,69.21,69.97,70.86,71.27,262.09,138.98,0.1
