Location,Year,Week,Air_Temp_DB,Air_Temp_Avg,Dew_Point,Heat_Index,Relative_Humidity,Soil_Temp_Avg,Soil_Moisture_Avg,Plant_Available_Water,Saturation_Index,Soil_Temp_0.1,Soil_Temp_0.2,Soil_Temp_0.3,Soil_Temp_0.4,Active_Radiation,Solar_Radiation,Precipitation
Kinston,2018,0,75.66,75.61,69.02,82.12,0.81,81.78,0.3,0.15,0.76,79.4,78.82,78.48,77.89,439.75,220.37,4
Kinston,2018,1,82.56,82.51,73.09,89.1,0.75,86.62,0.25,0.1,0.62,84.57,83.29,82.39,81.38,616.81,300.55,1.59
Kinston,2018,2,80,80.04,71.36,85.63,0.76,85.71,0.24,0.09,0.59,83.91,82.91,82.26,81.46,570.63,283.68,0
Kinston,2018,3,78.64,78.65,70.18,84.37,0.77,86.86,0.22,0.07,0.55,84.68,84.17,83.78,83.14,508.32,255.1,0.92
Kinston,2018,4,76.79,76.75,64.51,84.23,0.69,85.67,0.22,0.07,0.56,83.46,82.64,82.14,81.47,596.6,305.88,0.02
Kinston,2018,5,78.27,78.22,69.1,83.51,0.75,86.31,0.21,0.06,0.52,83.7,83.25,82.94,82.39,453.55,229.11,0.6
Kinston,2018,6,76.72,76.76,71.98,82.23,0.86,83.72,0.32,0.17,0.8,81.62,81.29,81.13,80.69,388.93,190.16,3.98
Kinston,2018,7,77.76,77.54,72.8,83.14,0.85,83.46,0.33,0.18,0.82,81.19,80.55,80.33,79.91,465.61,226.87,0.8099999999999999
Kinston,2018,8,79.88,79.89,72.06,85.74,0.79,85.86,0.27,0.12,0.69,83.4,82.9,82.55,81.97,528.96,263.44,2.39
Kinston,2018,9,79.92,79.89,71.51,85.16,0.77,85.11,0.28,0.13,0.7,82.51,82.23,82.06,81.61,465.1,236,0.86
Kinston,2018,10,76.33,76.34,67,83.35,0.75,83.24,0.29,0.14,0.72,80.97,80.86,80.87,80.58,491.61,255.59,2.4099999999999997
Kinston,2018,11,80.91,80.95,71.12,86.19,0.74,86.94,0.21,0.06,0.52,84.48,83.62,83.06,82.34,508.07,255.77,0
Kinston,2018,12,79.76,79.75,70.44,84.88,0.75,87.15,0.13,0,0.33,85.12,84.34,83.87,83.25,485.5,245.08,0
Kinston,2018,13,77.63,77.61,72.71,82.58,0.85,82.71,0.22,0.11,0.57,80.33,80.46,80.66,80.53,238.5,113.28,10.74
Kinston,2018,14,76.81,76.84,68.57,82.95,0.77,81.93,0.28,0.13,0.7,79.42,79.25,79.22,78.9,412.82,210.43,0.14
Kinston,2018,15,75.29,75.32,68.11,81.54,0.8,81.24,0.22,0.07,0.55,78.71,78.74,78.81,78.58,396.34,202.38,0.5700000000000001
Kinston,2018,16,75.67,75.61,66.81,82.24,0.76,79.58,0.21,0.06,0.51,76.88,76.95,77.11,76.95,368.62,189.01,0
Kinston,2018,17,70.44,70.47,62.16,80.37,0.76,76.88,0.18,0.03,0.45,74.34,75.05,75.65,75.8,284.6,145.11,0.24
Kinston,2018,18,63.17,63.26,54.17,78.44,0.74,70.9,0.18,0.03,0.45,68.45,69.5,70.4,70.82,277.24,144.66,0.32
