Date/Time (EST),Number of Records Compiled,monthly AVG of 2m Average Daily Temperature (F),monthly MAX of 10m Average Daily Temperature (F),monthly MIN of 10m Average Daily Temperature (F),monthly AVG of 10m Average Daily Temperature (F),monthly AVG of 2m Daily max air temperature (F),monthly MAX of 10m Daily max air temperature (F),monthly MIN of 10m Daily max air temperature (F),monthly AVG of 10m Daily max air temperature (F),monthly AVG of 2m Daily Min Temperature (F),monthly MAX of 10m Daily Min Temperature (F),monthly MIN of 10m Daily Min Temperature (F),monthly AVG of 10m Daily Min Temperature (F),2m Calculated Maximum Heat Index (F),2m Heating Degree Days (F),2m Cooling Degree Days (F),monthly AVG of 2m Relative Humidity Daily Avg (percent),monthly AVG of 2m Daily max Relative Humidity (percent),monthly AVG of 2m Daily min Relative Humidity (percent),monthly SUM of 1m Daily Precipitation (in),monthly AVG of  Soil Temperature Daily Mean (F),monthly AVG of  Soil Temperature Daily Max (F),monthly AVG of  Soil Temperature Daily Min (F),monthly AVG of  Soil Moisture Daily Mean (m3m3),monthly AVG of  Soil Moisture Daily Max (m3m3),monthly AVG of  Soil Moisture Daily Min (m3m3)
May 2016,31 (100%),68.6,,,,78.4,,,,59.9,,,,89,37.8,168.9,73,91,48,5.35,67.8,75.5,61.9,0.2898387082161442,0.2972903203579687,0.28590322694470804
Jun 2016,30 (100%),77.6,,,,88.4,,,,68.4,,,,103.6,0,403.5,68,89,41,3.65,77.8,86,71.4,0.2715666651725769,0.2782333344221115,0.2651666671037674
Jul 2016,31 (100%),81.5,,,,93,,,,73,,,,107.9,0,560.8,75,94,48,6.09,83.2,91.2,77.2,0.27238709743945827,0.2830645153599401,0.26625806573898564
Aug 2016,31 (100%),79.9,,,,90.5,,,,72,,,,103.8,0,505.5,78,95,51,4.22,77.9,85.5,73.7,0.26345161372615444,0.28225806643885953,0.25545161433758273
Sep 2016,30 (100%),74.9,,,,84.6,,,,67.9,,,,97.4,0,338.5,80,94,56,11.3,67,78.1,67.1,0.27106666813294095,0.29350000123182934,0.26083333293596905
Oct 2016,31 (100%),65,,,,76.4,,,,55.4,,,,88,63.6,94.8,74,93,47,11.1,61.3,68.8,55.6,0.25793548264811117,0.2654838691796026,0.2508387070509695
Nov 2016,30 (100%),53.1,,,,66.3,,,,41.6,,,,81.2,343.3,13.9,70,91,39,0.81,49.8,56.6,44.3,0.23499999890724818,0.23773333132267,0.23223333408435184
Dec 2016,31 (100%),46.1,,,,55.3,,,,37,,,,77.9,581.9,0,73,90,50,4.04,42.6,47.3,38.5,0.2777096782961199,0.28190322508735044,0.2731935453991736
Jan 2017,31 (100%),48.7,,,,58.5,,,,39.1,,,,77.6,499.9,0.4,72,89,49,3.12,43.5,48.3,39.7,0.2915806481915136,0.2947419353069798,0.2875161305550606
Feb 2017,28 (100%),53.8,,,,67,,,,40.7,,,,81.3,315.7,6.1,61,88,34,1.29,47.4,54.8,41.4,0.27303571573325564,0.27600000479391645,0.2708928563765117
Mar 2017,31 (100%),52.7,,,,64.9,,,,40,,,,81.3,405.3,17.2,61,88,33,2.89,49,56.5,43.1,0.2638064517128852,0.26732258210259097,0.26054838588160856
Apr 2017,30 (100%),67,,,,78.2,,,,56.6,,,,92.2,55.2,129.3,68,90,43,6.52,63.1,71.7,56.4,0.288266666730245,0.2924333324035009,0.28406666914621986
May 2017,31 (100%),71,,,,81.7,,,,59.8,,,,93.8,34.7,214.4,69,91,41,5.6,69.5,78.8,62.1,0.2154838711984696,0.23077419304078625,0.1958709671612709
Jun 2017,30 (100%),75.5,,,,85.8,,,,66.7,,,,97.3,1.9,340.3,74,93,48,5.9,73.5,80.3,68,0.22613333413998285,0.24873333324988683,0.21663333376248678
Jul 2017,31 (100%),79.8,,,,89.9,,,,71.3,,,,107.1,0,485.9,75,92,50,3.4,78.1,85.3,72.3,0.22299999863870681,0.23193548475542375,0.2162258081859158
Aug 2017,31 (100%),77.3,,,,87.7,,,,69.5,,,,104.5,0,424.6,78,93,51,4.9,74.8,81.1,70.1,0.20519354723153577,0.2465806461630329,0.19432257933001365
Sep 2017,30 (100%),72.5,,,,83.2,,,,64,,,,95.7,1.7,261.3,77,92,51,5.19,68.9,75.4,64,0.25873333364725115,0.28396666596333187,0.24839999824762343
Oct 2017,31 (100%),64.9,,,,77.4,,,,54.1,,,,94.8,99.2,124.3,75,92,47,2.09,62.7,68.8,57.6,0.20122580614782148,0.22612903291179287,0.19461290346037957
Nov 2017,30 (100%),51.8,,,,65.3,,,,40.1,,,,81.6,376.8,8.5,73,92,46,1.23,49.3,53.6,45.7,0.17526666621367137,0.17833333214124045,0.17289999822775523
Dec 2017,31 (100%),45,,,,54.8,,,,36.3,,,,76.7,600.9,0,69,88,45,4.33,42.2,44.8,39.8,0.2678387107387666,0.2853225801260241,0.2585161304281604
Jan 2018,31 (100%),39.2,,,,50.8,,,,28,,,,76.4,791.3,0.3,63,85,40,4.15,37.4,40.4,34.6,0.29380645482770856,0.309161288122977,0.284322579541514
Feb 2018,28 (100%),55.8,,,,67.4,,,,45.2,,,,80.9,282.4,39.9,74,90,48,1.92,54.9,60.1,50.4,0.29135714364903315,0.3006428559975965,0.28567857082401005
Mar 2018,31 (100%),49,,,,59.3,,,,38.1,,,,79.1,506.3,3.1,61,85,39,3.09,51.5,56,47.6,0.2815161284900481,0.29980645256657756,0.2710645160367412
Apr 2018,30 (100%),59.7,,,,71.6,,,,46.9,,,,82.4,194.1,22.9,63,87,36,4.63,61.2,66,56.8,0.2870333338777224,0.31353333542744316,0.2734333341320356
May 2018,31 (100%),73.7,,,,83.6,,,,65.6,,,,96.2,4.3,304.1,74,90,50,4.99,75.2,80.3,71.1,0.25722580379055393,0.27835483849048615,0.24532258222180028
Jun 2018,30 (100%),79.3,,,,90.4,,,,70.2,,,,105,0,461.2,72,92,44,2.56,83.9,91.6,77.8,0.26250000049670535,0.27863333324591316,0.25466666569312413
Jul 2018,31 (100%),78.4,,,,88.9,,,,69.9,,,,100.3,0,449.1,75,94,48,6.27,84.3,92.7,77.8,0.2512580651429392,0.27496774206238406,0.24061290198756802
Aug 2018,31 (100%),78.7,,,,89.5,,,,70.7,,,,101.4,0,469.6,78,94,50,5.14,82.5,90.2,76.7,0.2879354848015693,0.3156451616556414,0.272580643815379
Sep 2018,30 (100%),75.5,,,,85.4,,,,68.7,,,,98.8,32.9,396.1,76,92,51,18.65,79.9,84.6,76.3,0.2792999972899755,0.3062333330512047,0.2615333333611488
Oct 2018,31 (100%),64.4,,,,75.3,,,,54.4,,,,95,160,157.1,75,93,47,1.71,68.1,72.1,64.8,0.201677419966267,0.21306451530225815,0.19600000016150937
